X,Y,Z,gX,gY,gZ,fall
1.795898438,-9.453125,-0.929199219,-0.080932617,-0.027694702,0.02130127,0
1.744140625,-9.5078125,-0.859375,-0.08203125,-0.02557373,0.015975952,0
1.828125,-9.4765625,-0.798339844,-0.083068848,-0.019180298,0.01171875,0
1.819335938,-9.453125,-0.828613281,-0.077758789,-0.006393433,0.008522034,0
1.764648438,-9.4296875,-0.896484375,-0.078857422,0.001065254,0.007457733,0
1.814453125,-9.34375,-0.951660156,-0.067138672,0.005325317,0.004261017,0
1.875976563,-9.328125,-0.916992188,-0.063903809,0.007457733,0,0
1.840820313,-9.2890625,-0.96484375,-0.05859375,0.001065254,-0.006393433,0
1.866210938,-9.234375,-0.972167969,-0.054321289,0.005325317,-0.009590149,0
1.876953125,-9.3125,-0.966308594,0.174682617,1.16796875,1.106445313,0
1.887695313,-9.3125,-1.02734375,-0.212036133,1.125,1.015625,0
1.862304688,-9.265625,-1.043945313,-0.532714844,1.102539063,0.938476563,0
1.819335938,-9.3203125,-1.104492188,-0.767089844,1.10546875,0.903320313,0
1.80859375,-9.34375,-1.141601563,-0.94921875,1.102539063,0.9140625,0
1.825195313,-9.328125,-1.151367188,-1.102539063,1.078125,0.939453125,0
1.787109375,-9.390625,-1.149414063,-1.236328125,1.055664063,0.971679688,0
1.771484375,-9.3984375,-1.114257813,-1.37109375,1.059570313,1.024414063,0
1.780273438,-9.4140625,-1.071289063,-1.52734375,1.0859375,1.09765625,0
1.849609375,-9.34375,-1.024414063,-1.6875,1.147460938,1.1953125,0
-1.749023438,3.658203125,6.17578125,-1.8359375,1.236328125,1.315429688,0
-2.466796875,3.580078125,5.9453125,-1.965820313,1.329101563,1.452148438,0
-2.72265625,2.734375,6.09765625,-2.0625,1.419921875,1.59765625,0
-2.45703125,1.42578125,6.59375,-2.08984375,1.486328125,1.754882813,0
-1.796875,0.209472656,6.93359375,-2.03125,1.55859375,1.892578125,0
-0.799804688,-0.491943359,7.2734375,-1.998046875,1.649414063,1.98046875,0
0.265869141,-0.100585938,7.984375,-2.005859375,1.65625,2.01953125,0
1.08984375,1.017578125,8.90625,-2.001953125,1.572265625,2.1171875,0
1.416015625,2.271484375,9.7109375,-2.025390625,1.494140625,2.2265625,0
1.119140625,3.138671875,10.421875,-2.18359375,1.470703125,2.30078125,0
0.479980469,3.3359375,10.7421875,-2.42578125,1.478515625,2.3828125,0
-0.01197052,3.330078125,10.6484375,-2.677734375,1.4921875,2.40234375,0
-0.225097656,3.51171875,10.671875,-2.865234375,1.50390625,2.330078125,0
-0.325683594,3.361328125,10.53125,-2.94140625,1.5234375,2.2578125,0
-0.397460938,2.890625,10.171875,-2.857421875,1.520507813,2.185546875,0
-0.521972656,2.509765625,9.7421875,-2.697265625,1.508789063,2.083984375,0
-0.73046875,2.34375,9.375,-2.5078125,1.475585938,2.005859375,0
-0.882324219,2.22265625,8.9296875,-2.32421875,1.388671875,1.924804688,0
-0.896484375,2.109375,8.5,-2.263671875,1.279296875,1.813476563,0
-0.874023438,2.099609375,8.0703125,-2.26171875,1.182617188,1.708984375,0
-0.778320313,2.361328125,7.703125,-2.236328125,1.067382813,1.571289063,0
-0.795898438,2.630859375,7.3671875,-2.142578125,1.022460938,1.420898438,0
-0.929199219,2.689453125,6.98828125,-2.123046875,1.107421875,1.2421875,0
-1.081054688,2.654296875,6.57421875,-2.224609375,1.227539063,0.973632813,0
-1.208007813,2.509765625,6.2890625,-2.46875,1.30078125,0.666992188,0
-1.409179688,1.94140625,6.859375,-2.888671875,1.24609375,0.279052734,0
-1.720703125,1.172851563,7.81640625,-3.43359375,1.099609375,-0.062866211,0
-2.17578125,0.62109375,8.5234375,-3.6484375,0.871582031,-0.264160156,0
-2.388671875,0.475341797,8.921875,-3.25390625,0.564453125,-0.377197266,0
-2.259765625,0.859375,9.2734375,-2.505859375,0.300292969,-0.428222656,0
-1.904296875,1.524414063,9.65625,-1.817382813,0.260009766,-0.439941406,0
-1.4140625,2.435546875,9.5859375,-1.283203125,0.463378906,-0.384521484,0
-1.202148438,2.8359375,9.515625,-0.748046875,0.669921875,-0.225830078,0
-1.2890625,2.09375,9.6484375,-0.342041016,0.716796875,-0.189575195,0
-1.379882813,0.628417969,9.6796875,-0.15234375,0.712890625,-0.171508789,0
-1.533203125,-0.895507813,9.671875,-0.293945313,0.727539063,-0.106506348,0
-1.828125,-2.37890625,10.3359375,-0.615722656,0.787109375,-0.09375,0
-2.1328125,-3.423828125,10.9921875,-0.956542969,0.839355469,-0.130004883,0
-2.3671875,-3.435546875,11.40625,-1.236328125,0.823242188,-0.177856445,0
-2.4765625,-2.9765625,11.921875,-1.428710938,0.797851563,-0.15234375,0
-2.365234375,-2.73828125,12.125,-1.653320313,0.839355469,-0.09161377,0
-2.318359375,-2.912109375,11.9296875,-1.9609375,0.957519531,-0.031951904,0
-2.142578125,-3.458984375,11.6796875,-2.212890625,1.04296875,0.002130508,0
-1.775390625,-3.763671875,11.7109375,-2.248046875,1.103515625,-0.004261017,0
-1.915039063,-3.75390625,12.28125,-1.96875,1.163085938,0.028762817,0
-2.49609375,-3.9609375,13.0078125,-1.21875,1.192382813,0.106506348,0
-3.4140625,-4.23828125,13.2109375,-0.507324219,1.282226563,0.145996094,0
-4.05078125,-5.0390625,13.25,-0.240722656,1.42578125,0.200317383,0
-4.25390625,-5.78125,12.53125,-0.290771484,1.5625,0.29296875,0
-4.4140625,-6.72265625,11.0859375,-0.853515625,2.16015625,0.694335938,0
-3.962890625,-7.7265625,9.8359375,-0.722167969,2.171875,0.634765625,0
-2.75390625,-7.16796875,9.53125,-0.673339844,2.1015625,0.522949219,0
-1.611328125,-5.62109375,9.6796875,-0.627441406,1.919921875,0.425048828,0
-1.580078125,-4.7109375,9.390625,-0.62109375,1.7578125,0.322753906,0
-2.732421875,-4.3203125,8.9453125,-0.598632813,1.681640625,0.248168945,0
-3.46484375,-3.484375,8.7421875,-0.508300781,1.606445313,0.233276367,0
-3.59765625,-2.037109375,9.0078125,-0.580566406,1.52734375,0.221557617,0
-3.8515625,-0.628417969,9.359375,-0.635742188,1.41796875,0.253662109,0
-4.390625,-0.51953125,8.953125,-0.620117188,1.278320313,0.283447266,0
-4.8828125,-1.5,7.65234375,-0.690429688,1.18359375,0.308837891,0
-4.8203125,-2.537109375,6.265625,-0.762695313,1.134765625,0.379150391,0
-4.40234375,-2.982421875,5.55078125,-0.863769531,1.1171875,0.428222656,0
-3.943359375,-3.0546875,5.453125,-0.877929688,1.08203125,0.48046875,0
-4.01171875,-3.365234375,5.7109375,-0.692382813,1.09375,0.485839844,0
-4.58203125,-4.31640625,6.33203125,-0.497558594,1.12890625,0.405761719,0
-4.9921875,-5.76953125,6.90234375,-0.271728516,1.139648438,0.395263672,0
-5.13671875,-7.40625,6.87890625,-0.135253906,1.182617188,0.447509766,0
-5.07421875,-9.296875,7.0234375,-0.132080078,1.236328125,0.50390625,0
-4.8125,-9.8046875,7.515625,-0.065002441,1.266601563,0.576171875,0
-4.6796875,-7.61328125,7.453125,-0.690429688,1.18359375,0.308837891,0
-4.85546875,-4.265625,6.93359375,-0.762695313,1.134765625,0.379150391,0
-4.94140625,-2.44140625,6.76171875,-0.863769531,1.1171875,0.428222656,0
-4.8515625,-2.515625,6.76953125,-0.877929688,1.08203125,0.48046875,0
-5.2578125,-4.07421875,7.375,-0.692382813,1.09375,0.485839844,0
-6.08203125,-6.41796875,8.578125,-0.497558594,1.12890625,0.405761719,0
-6.62890625,-7.59375,9.1640625,-0.271728516,1.139648438,0.395263672,0
-6.2890625,-6.8359375,8.546875,-0.135253906,1.182617188,0.447509766,0
-5.33984375,-5.1171875,7.44921875,-0.132080078,1.236328125,0.50390625,0
-4.4140625,-3.546875,7.26953125,-0.065002441,1.266601563,0.576171875,0
-4.14453125,-2.888671875,8.3671875,0.073486328,1.263671875,0.661621094,0
-5.02734375,-3.71875,9.6328125,0.1875,1.250976563,0.764648438,0
-7.2734375,-3.3828125,3.826171875,0.186401367,1.311523438,0.844726563,0
-8.234375,-4.1796875,4.0234375,0.124633789,1.438476563,0.924804688,0
-8.9921875,-5.79296875,3.01953125,0.090576172,1.5546875,1.029296875,0
-8.890625,-6.87109375,1.72265625,0.075622559,1.61328125,1.126953125,0
-8.4765625,-8.15625,1.6328125,0.026626587,1.625,1.208007813,0
-7.953125,-8.8984375,1.50390625,-0.017044067,1.5859375,1.29296875,0
-7.72265625,-8.2421875,1.771484375,-0.007457733,1.545898438,1.412109375,0
-8.046875,-7.66796875,1.916992188,0.167236328,1.556640625,1.575195313,0
-8.328125,-7.8046875,1.129882813,0.393066406,1.653320313,1.755859375,0
-8.5390625,-7.703125,0.463378906,0.577148438,1.7578125,1.91015625,0
-7.2734375,-3.3828125,3.826171875,0.75,1.879882813,2.07421875,0
-8.234375,-4.1796875,4.0234375,0.895019531,2.064453125,2.26171875,0
-8.9921875,-5.79296875,3.01953125,0.953613281,2.345703125,2.443359375,0
-8.890625,-6.87109375,1.72265625,0.971679688,2.712890625,2.6015625,0
-8.4765625,-8.15625,1.6328125,0.909667969,3.1015625,2.708984375,0
-7.953125,-8.8984375,1.50390625,0.778808594,3.24609375,2.724609375,0
-7.72265625,-8.2421875,1.771484375,0.610351563,2.900390625,2.609375,0
-8.046875,-7.66796875,1.916992188,0.348388672,2.166015625,2.30078125,0
-8.328125,-7.8046875,1.129882813,0.002130508,1.357421875,1.825195313,0
-8.5390625,-7.703125,0.463378906,-0.566894531,0.709472656,1.250976563,0
-8.578125,-6.52734375,0.353271484,-0.873535156,0.145996094,0.842773438,0
-8.5,-5.19140625,0.768554688,-1.051757813,-0.087341309,0.3984375,0
-8.59375,-5.07421875,1.044921875,-1.264648438,-0.05859375,-0.260009766,0
-9.0234375,-5.4921875,0.625976563,-1.140625,-0.1640625,-0.475097656,0
-9.640625,-5.73046875,0.291992188,-0.824707031,-0.476074219,-0.511230469,0
-10.09375,-5.87109375,0.332763672,-0.639160156,-0.619140625,-0.757324219,0
-10.2734375,-5.7109375,0.1640625,-0.622070313,-0.713867188,-0.988769531,0
-10.0390625,-5.4921875,-0.079040527,-0.617675781,-0.910644531,-1.290039063,0
-9.625,-5.5234375,-0.306396484,-0.436767578,-1.162109375,-1.42578125,0
-9.3125,-5.63671875,-0.227416992,-0.599609375,-1.033203125,-1.036132813,0
