X,Y,Z,gX,gY,gZ,fall
-7.4140625,-1.768554688,5.7578125,-0.029830933,-0.002130508,0.010650635,0
-7.33984375,-1.739257813,5.71875,-0.01171875,0.002130508,0.019180298,0
-7.57421875,-2.046875,5.875,-0.005325317,0.001065254,0.014915466,0
-7.7265625,-2.130859375,5.9765625,0.003196716,-0.002130508,0.007457733,0
-7.58203125,-1.844726563,5.89453125,0.009590149,-0.010650635,0.004261017,0
-7.54296875,-1.90625,5.828125,-0.004261017,-0.020233154,-0.003196716,0
-7.44140625,-1.91015625,5.78125,-0.028762817,-0.030899048,-0.008522034,0
-7.41015625,-1.999023438,5.8046875,-0.042602539,-0.038360596,-0.019180298,0
-7.44140625,-2.052734375,5.92578125,-0.040466309,-0.039428711,-0.013847351,0
-7.72265625,-2.24609375,6.046875,-0.042602539,-0.040466309,-0.006393433,0
-7.6796875,-2.0234375,5.93359375,-0.03302002,-0.040466309,-0.013847351,0
-7.56640625,-1.875,5.87890625,-0.022369385,-0.041534424,-0.013847351,0
-7.37109375,-1.866210938,5.8203125,-0.024505615,-0.041534424,-0.005325317,0
-7.34375,-1.981445313,5.8046875,-0.029830933,-0.040466309,-0.015975952,0
-7.390625,-2.07421875,5.92578125,-0.02557373,-0.036224365,-0.0234375,0
-7.40625,-1.967773438,5.9453125,-0.014915466,-0.028762817,-0.02130127,0
-7.51171875,-2.095703125,6.13671875,-0.014915466,-0.026626587,-0.02130127,0
-7.75,-2.3359375,6.2265625,-0.01171875,-0.02130127,-0.028762817,0
-7.8203125,-2.150390625,6.06640625,-0.004261017,-0.017044067,-0.02130127,0
-7.80078125,-1.84375,5.94921875,-0.002130508,-0.012786865,-0.012786865,0
-7.59765625,-1.686523438,5.796875,-0.001065254,-0.007457733,-0.007457733,0
-7.63671875,-1.8359375,5.65234375,0.002130508,-0.002130508,-0.003196716,0
-7.5234375,-1.7734375,5.45703125,0.005325317,0,0.004261017,0
-7.48046875,-1.794921875,5.6015625,0.001065254,0,0.001065254,0
-7.87109375,-2.240234375,5.73046875,0,0,-0.004261017,0
-7.73828125,-1.958984375,5.66796875,0.007457733,0.004261017,-0.007457733,0
-7.53515625,-1.724609375,5.65234375,0.010650635,0.009590149,-0.012786865,0
