X,Y,Z,gX,gY,gZ,fall
-5.79296875,-5.625,5.390625,0.018112183,-0.027694702,0.040466309,0
-5.734375,-5.6015625,5.37109375,0.006393433,-0.009590149,0.030899048,0
-5.58984375,-5.50390625,5.39453125,-0.005325317,-0.003196716,0.027694702,0
-5.62109375,-5.54296875,5.390625,-0.005325317,-0.007457733,0.0234375,0
-5.67578125,-5.62109375,5.3515625,0.002130508,-0.003196716,0.010650635,0
-5.6328125,-5.6640625,5.42578125,0.013847351,0.002130508,-0.004261017,0
-5.6640625,-5.67578125,5.48046875,0.031951904,0,-0.02130127,0
-5.7265625,-5.62109375,5.45703125,0.054321289,-0.008522034,-0.031951904,0
-5.71875,-5.62109375,5.51953125,0.063903809,-0.015975952,-0.036224365,0
-5.6953125,-5.59765625,5.6328125,0.065002441,-0.02557373,-0.036224365,0
-5.66796875,-5.59765625,5.7421875,0.054321289,-0.013847351,-0.026626587,0
-5.6328125,-5.45703125,5.83203125,0.03729248,0.005325317,-0.02130127,0
-5.62890625,-5.46484375,5.84765625,0.026626587,0.003196716,-0.008522034,0
-5.66015625,-5.46875,5.8125,0.024505615,-0.004261017,0.01171875,0
-5.6484375,-5.47265625,5.7265625,0.02557373,-0.007457733,0.014915466,0
-5.6015625,-5.390625,5.8359375,0.028762817,0,0.007457733,0
-5.55859375,-5.359375,5.9765625,0.045806885,-0.003196716,0.003196716,0
-5.5625,-5.55078125,5.93359375,0.065002441,-0.02130127,-0.007457733,0
-5.7109375,-5.67578125,5.83984375,0.074584961,-0.017044067,-0.013847351,0
-5.67578125,-5.6640625,5.859375,0.083068848,-0.007457733,-0.014915466,0
-5.5390625,-5.6328125,5.90234375,0.090576172,-0.01171875,-0.009590149,0
-5.65234375,-5.63671875,5.89453125,0.094787598,-0.015975952,-0.003196716,0
-5.734375,-5.65625,5.859375,0.106506348,-0.014915466,-0.010650635,0
-5.71484375,-5.71875,5.79296875,0.114013672,-0.017044067,-0.017044067,0
