X,Y,Z,gX,gY,gZ,fall
0.086181641,8.6328125,3.732421875,0.15234375,-0.05645752,-0.10333252,0
0.04309082,8.609375,3.5546875,0.207763672,-0.10333252,-0.100158691,0
0.280029297,8.6328125,3.58203125,0.2109375,-0.127807617,-0.0703125,0
0.251464844,8.5546875,3.517578125,0.176879883,-0.130004883,-0.042602539,0
0.197509766,8.5390625,3.513671875,0.141723633,-0.121459961,-0.029830933,0
0.100585938,8.5859375,3.517578125,0.096923828,-0.114013672,-0.024505615,0
-0.151977539,8.734375,3.869140625,0.09375,-0.094787598,-0.019180298,0
-0.130493164,8.71875,3.734375,0.110778809,-0.05645752,-0.015975952,0
-0.059844971,8.6875,3.642578125,0.111877441,-0.026626587,-0.01171875,0
-0.129272461,8.6953125,3.5703125,0.096923828,0.01171875,0,0
-0.101745605,8.7109375,3.494140625,0.089477539,0.040466309,0.003196716,0
-0.062255859,8.71875,3.525390625,0.083068848,0.027694702,-0.001065254,0
-0.145996094,8.671875,3.591796875,0.073486328,0.007457733,0.002130508,0
-0.1484375,8.671875,3.572265625,0.074584961,0.004261017,0.007457733,0
-0.044281006,8.65625,3.556640625,0.141723633,-0.121459961,-0.029830933,0
-0.072998047,8.6484375,3.5859375,0.096923828,-0.114013672,-0.024505615,0
-0.151977539,8.734375,3.869140625,0.09375,-0.094787598,-0.019180298,0
-0.130493164,8.71875,3.734375,0.110778809,-0.05645752,-0.015975952,0
-0.059844971,8.6875,3.642578125,0.111877441,-0.026626587,-0.01171875,0
-0.129272461,8.6953125,3.5703125,0.096923828,0.01171875,0,0
-0.101745605,8.7109375,3.494140625,0.089477539,0.040466309,0.003196716,0
-0.062255859,8.71875,3.525390625,0.083068848,0.027694702,-0.001065254,0
-0.145996094,8.671875,3.591796875,0.073486328,0.007457733,0.002130508,0
-0.1484375,8.671875,3.572265625,0.074584961,0.004261017,0.007457733,0
-0.044281006,8.65625,3.556640625,0.09588623,-0.015975952,0.003196716,0
-0.072998047,8.6484375,3.5859375,0.133178711,-0.057525635,-0.002130508,0
-0.126953125,8.640625,3.658203125,0.144897461,-0.08416748,-0.018112183,0
-0.058654785,8.640625,3.623046875,0.145996094,-0.088439941,-0.040466309,0
0.002393723,8.640625,3.45703125,0.136352539,-0.094787598,-0.055389404,0
-0.070617676,8.6171875,3.255859375,0.108642578,-0.10546875,-0.063903809,0
-0.123291016,8.6796875,3.119140625,0.06072998,-0.10333252,-0.06817627,0
-0.150878906,8.6796875,3.033203125,0.017044067,-0.07244873,-0.053253174,0
-0.063476563,8.6796875,3.080078125,0,-0.012786865,-0.026626587,0
0.015563965,8.6953125,3.119140625,0.027694702,0.040466309,-0.003196716,0
0.039520264,8.6796875,3.21875,0.052185059,0.046875,0.013847351,0
-0.029922485,8.703125,3.484375,0.026626587,0.013847351,0.009590149,0
-0.150878906,8.8203125,3.634765625,-0.013847351,-0.026626587,-0.002130508,0
-0.295654297,8.8046875,3.560546875,-0.07244873,-0.051147461,-0.001065254,0
-0.37109375,8.8671875,3.46875,-0.154418945,-0.039428711,0.020233154,0
-0.318359375,8.9609375,3.517578125,-0.226928711,-0.014915466,0.024505615,0
-0.279052734,8.9453125,3.486328125,-0.233276367,0,0.018112183,0
-0.345947266,8.8515625,3.482421875,-0.205566406,0.020233154,0.017044067,0
-0.397460938,8.7578125,3.546875,-0.171508789,0.013847351,0.022369385,0
-0.454833984,8.7734375,3.6015625,-0.132080078,0.009590149,0.050079346,0
-0.499267578,8.8125,3.58203125,-0.099060059,0.031951904,0.092651367,0
-0.372314453,8.8515625,3.591796875,-0.087341309,0.03515625,0.108642578,0
-0.20715332,8.7578125,3.57421875,-0.096923828,-0.01171875,0.087341309,0
-0.154418945,8.6640625,3.611328125,-0.090576172,-0.053253174,0.059661865,0
-0.062255859,8.625,3.783203125,-0.054321289,-0.047943115,0.03302002,0
0.178344727,8.6015625,3.873046875,-0.038360596,-0.047943115,0.004261017,0
0.221435547,8.6328125,3.8671875,-0.036224365,-0.066040039,-0.0234375,0
0.11730957,8.671875,3.8359375,-0.01171875,-0.10333252,-0.042602539,0
-0.040710449,8.6875,3.87109375,0.051147461,-0.135253906,-0.043670654,0
-0.118530273,8.671875,3.845703125,0.096923828,-0.149169922,-0.043670654,0
-0.11730957,8.6484375,3.685546875,0.09375,-0.156616211,-0.04901123,0
-0.141235352,8.703125,3.5546875,0.04473877,-0.138427734,-0.03302002,0
-0.118530273,8.7734375,3.435546875,-0.007457733,-0.122497559,-0.026626587,0
-0.116149902,8.78125,3.37890625,-0.017044067,-0.092651367,-0.051147461,0
-0.098144531,8.6171875,3.45703125,0.050079346,-0.03515625,-0.08203125,0
0.192749023,8.5,3.6953125,0.218383789,-0.052185059,-0.145996094,0
-0.04309082,8.4921875,4.00390625,0.713867188,0.425048828,-0.160888672,0
0.087402344,8.40625,2.912109375,0.689453125,1.030273438,0.0234375,0
2.044921875,8.7421875,1.580078125,0.169433594,0.892578125,-0.03729248,0
0.946777344,9.0078125,3.3828125,-0.003196716,-0.017044067,-0.045806885,0
0.383056641,8.6328125,3.6484375,0,-0.004261017,-0.030899048,0
-0.58203125,3.638671875,9.328125,0.018112183,0.009590149,-0.020233154,0
-0.602050781,3.45703125,9.421875,0.017044067,0.003196716,-0.024505615,0
-0.463378906,3.263671875,9.453125,-0.017044067,-0.012786865,-0.009590149,0
-0.330322266,3.203125,9.3984375,-0.042602539,-0.030899048,-0.001065254,0
-0.333984375,3.203125,9.3125,-0.015975952,-0.030899048,-0.014915466,0
-0.329101563,3.173828125,9.2890625,0.018112183,-0.018112183,-0.024505615,0
-0.341064453,3.09375,9.1875,-0.001065254,-0.009590149,-0.019180298,0
-0.347167969,3.056640625,9.09375,-0.02130127,-0.013847351,-0.014915466,0
-0.284912109,3.01953125,9.0859375,-0.017044067,-0.017044067,0.020233154,0
-0.247802734,3.0078125,9.2421875,-0.012786865,0.006393433,0.073486328,0
-0.313720703,3.09375,9.203125,0.013847351,0.047943115,0.059661865,0
-0.314941406,3.072265625,9.109375,0.055389404,0.052185059,0.027694702,0
-0.166381836,3.08203125,9.265625,0.075622559,0.036224365,0.034088135,0
-0.182006836,3.1171875,9.3671875,0.076721191,0.02557373,0.030899048,0
-0.361572266,3.150390625,9.1796875,0.062866211,0.009590149,0.005325317,0
-0.344726563,3.1796875,9.140625,0.03515625,-0.009590149,-0.010650635,0
-0.264648438,3.224609375,9.1171875,0.010650635,-0.024505615,-0.019180298,0
-0.299316406,3.251953125,9.046875,-0.015975952,-0.028762817,-0.028762817,0
-0.300537109,3.236328125,9.0546875,-0.046875,-0.027694702,-0.028762817,0
-0.274169922,3.251953125,9.0234375,-0.063903809,-0.024505615,0.004261017,0
-0.249023438,3.25,9.1171875,-0.04901123,-0.006393433,0.039428711,0
-0.190307617,3.201171875,9.1953125,-0.02557373,0.003196716,0.036224365,0
