X,Y,Z,gX,gY,gZ,fall
-0.02394104,-7.88671875,6.15625,-0.009590149,0,0.024505615,0
-0.245361328,-7.7890625,5.921875,-0.001065254,0.001065254,0.017044067,0
-0.013168335,-7.6171875,6.31640625,-0.002130508,0,0.015975952,0
-0.237060547,-7.578125,6.359375,-0.006393433,0,0.028762817,0
-0.120910645,-7.49609375,6.24609375,-0.012786865,0.001065254,0.030899048,0
-0.126953125,-7.640625,6.1953125,-0.014915466,0.003196716,0.02557373,0
-0.221435547,-7.59765625,6.234375,-0.014915466,0,0.02557373,0
-0.203491211,-7.484375,6.26171875,-0.013847351,-0.002130508,0.027694702,0
-0.153198242,-7.57421875,6.1953125,-0.009590149,0,0.024505615,0
-0.143676758,-7.5625,6.2421875,-0.001065254,0.001065254,0.017044067,0
-0.196289063,-7.56640625,6.328125,-0.002130508,0,0.015975952,0
-0.244262695,-7.61328125,6.296875,-0.006393433,0,0.028762817,0
-0.264648438,-7.55859375,6.2734375,-0.012786865,0.001065254,0.030899048,0
-0.271728516,-7.52734375,6.28515625,-0.014915466,0.003196716,0.02557373,0
-0.202270508,-7.49609375,6.328125,-0.014915466,0,0.02557373,0
-0.177124023,-7.5703125,6.296875,-0.013847351,-0.002130508,0.027694702,0
-0.107727051,-7.6484375,6.1171875,-0.051147461,-0.017044067,0.009590149,0
-0.101745605,-7.68359375,6.08203125,-0.052185059,-0.019180298,0.008522034,0
-0.075439453,-7.6171875,6.2734375,-0.043670654,-0.022369385,0.007457733,0
-0.165161133,-7.58203125,6.2890625,-0.036224365,-0.02557373,0.006393433,0
-0.19152832,-7.5625,6.19921875,-0.026626587,-0.031951904,0.008522034,0
-0.216674805,-7.62109375,6.203125,-0.020233154,-0.031951904,0.013847351,0
-0.202270508,-7.6328125,6.23828125,-0.026626587,-0.03515625,0.017044067,0
-0.112548828,-7.6171875,6.25390625,-0.040466309,-0.036224365,0.019180298,0
-0.156860352,-7.55859375,6.2421875,-0.042602539,-0.034088135,0.018112183,0
-0.213134766,-7.6015625,6.21484375,-0.031951904,-0.028762817,0.017044067,0
-0.204711914,-7.58984375,6.22265625,-0.020233154,-0.026626587,0.015975952,0
-0.173583984,-7.58203125,6.21875,-0.008522034,-0.024505615,0.017044067,0
-0.197509766,-7.5859375,6.23046875,0,-0.019180298,0.017044067,0
-1.951171875,1.487304688,9.6328125,0.005325317,-0.008522034,0.015975952,0
-2.005859375,1.506835938,9.6328125,0.015975952,0,0.014915466,0
-2.064453125,1.463867188,9.59375,0.017044067,0.004261017,0.012786865,0
-2.12109375,1.358398438,9.5390625,0.006393433,0.008522034,0.010650635,0
-2.10546875,1.268554688,9.59375,-0.014915466,0.008522034,0.007457733,0
