X,Y,Z,gX,gY,gZ,fall
-1.66796875,6.4765625,7.046875,0.013847351,0.003196716,-0.014915466,0
-1.665039063,6.58203125,7.07421875,0.013847351,0.001065254,-0.013847351,0
-1.625,6.62890625,7.1015625,0.004261017,0.006393433,0.003196716,0
-1.620117188,6.5859375,7.1328125,-0.001065254,0.008522034,0.009590149,0
-1.65234375,6.5859375,7.1796875,-0.006393433,0.002130508,0.001065254,0
-1.6171875,6.66015625,7.18359375,-0.010650635,-0.001065254,-0.003196716,0
-1.622070313,6.69140625,7.15625,-0.017044067,-0.002130508,0.001065254,0
-1.672851563,6.62109375,7.171875,-0.024505615,0,0.009590149,0
-1.69921875,6.52734375,7.15625,-0.031951904,0,0.008522034,0
-1.685546875,6.484375,7.1484375,-0.03302002,0.002130508,0.008522034,0
-1.6875,6.54296875,7.1796875,-0.03515625,0.005325317,0.010650635,0
-1.649414063,6.4921875,7.09765625,-0.034088135,0.009590149,0.01171875,0
-1.630859375,6.5078125,7.10546875,-0.034088135,0.012786865,0.010650635,0
-1.647460938,6.55078125,7.14453125,-0.038360596,0.013847351,0.017044067,0
-1.657226563,6.53125,7.12890625,-0.047943115,0.004261017,0.012786865,0
-1.676757813,6.5078125,7.15234375,-0.050079346,0.002130508,-0.001065254,0
-1.692382813,6.5390625,7.1796875,-0.053253174,-0.001065254,-0.004261017,0
-1.708007813,6.62890625,7.19921875,-0.052185059,-0.004261017,0.007457733,0
-1.6796875,6.67578125,7.18359375,-0.057525635,0,0.036224365,0
-1.622070313,6.6484375,7.20703125,-0.06072998,-0.026626587,0.036224365,0
-1.655273438,6.51171875,7.19921875,-0.04901123,-0.027694702,0.001065254,0
-1.662109375,6.4375,7.1875,-0.02557373,-0.047943115,-0.02557373,0
-1.657226563,6.4609375,7.1953125,-0.07989502,-0.03302002,-0.014915466,0
-1.6640625,6.4765625,7.16796875,-0.1171875,-0.053253174,-0.042602539,0
-1.637695313,6.546875,7.15234375,-0.172607422,-0.086303711,-0.07244873,0
-1.61328125,6.5859375,7.1171875,-0.138427734,-0.073486328,-0.055389404,0
-1.61328125,6.69921875,7.09375,-0.07989502,-0.055389404,-0.047943115,0
-1.538085938,6.78125,7.08984375,-0.06817627,-0.05645752,-0.059661865,0
-1.53125,6.6796875,7.07421875,-0.077758789,-0.059661865,-0.06817627,0
-1.504882813,6.578125,7.046875,-0.07989502,-0.052185059,-0.077758789,0
-1.500976563,6.546875,7.08203125,-0.073486328,-0.042602539,-0.086303711,0
-1.559570313,6.50390625,7.11328125,-0.061798096,-0.03302002,-0.096923828,0
-1.643554688,6.40625,7.15234375,-0.054321289,-0.0234375,-0.111877441,0
-1.765625,6.296875,7.2734375,-0.047943115,-0.014915466,-0.124633789,0
-1.747070313,6.58984375,7.2109375,-0.047943115,-0.010650635,-0.134277344,0
-1.689453125,6.56640625,7.2421875,-0.054321289,-0.010650635,-0.139526367,0
-1.715820313,6.48828125,7.2421875,-0.067138672,-0.013847351,-0.144897461,0
-1.670898438,6.55859375,7.265625,-0.075622559,-0.02130127,-0.148071289,0
-1.690429688,6.51953125,7.25390625,-0.083068848,-0.030899048,-0.146972656,0
-1.676757813,6.4921875,7.2421875,-0.09161377,-0.042602539,-0.143798828,0
-1.659179688,6.453125,7.30078125,-0.101196289,-0.046875,-0.141723633,0
-1.678710938,6.3984375,7.28515625,-0.102294922,-0.057525635,-0.140625,0
-1.70703125,6.42578125,7.27734375,-0.092651367,-0.063903809,-0.138427734,0
-1.75390625,6.3984375,7.23046875,-0.092651367,-0.06817627,-0.134277344,0
-1.737304688,6.4609375,7.1328125,-0.101196289,-0.069213867,-0.130981445,0
-1.760742188,6.4609375,7.13671875,-0.109741211,-0.066040039,-0.125732422,0
-1.782226563,6.5234375,7.1875,-0.111877441,-0.063903809,-0.11505127,0
-1.721679688,6.55859375,7.1875,-0.118225098,-0.059661865,-0.094787598,0
-1.71875,6.5546875,7.2265625,-0.155517578,0.017044067,-0.04473877,0
-1.7265625,6.5234375,7.2265625,-0.174682617,0.03515625,-0.052185059,0
-1.685546875,6.5078125,7.20703125,-0.196044922,0.053253174,-0.059661865,0
-1.673828125,6.46875,7.23046875,-0.218383789,0.071350098,-0.069213867,0
-1.646484375,6.4921875,7.1796875,-0.238647461,0.088439941,-0.07989502,0
-1.703125,6.4921875,7.16015625,-0.279052734,0.104370117,-0.10546875,0
-1.674804688,6.5546875,7.18359375,-0.311035156,0.098022461,-0.12890625,0
-1.696289063,6.52734375,7.203125,-0.252441406,0.130981445,-0.116088867,0
-1.69140625,6.51171875,7.1796875,-0.180053711,0.157714844,-0.101196289,0
-1.6953125,6.52734375,7.1640625,-0.172607422,0.1640625,-0.09588623,0
-1.606445313,6.55859375,7.16015625,-0.203491211,0.156616211,-0.098022461,0
-1.633789063,6.46875,7.2109375,-0.241821289,0.1640625,-0.094787598,0
-1.685546875,6.5078125,7.2421875,-0.310058594,0.159790039,-0.102294922,0
-1.73828125,6.453125,7.28125,-0.155517578,0.017044067,-0.04473877,0
-1.838867188,6.42578125,7.203125,-0.174682617,0.03515625,-0.052185059,0
-1.662109375,6.50390625,7.2578125,-0.196044922,0.053253174,-0.059661865,0
-1.71875,6.4453125,7.21484375,-0.218383789,0.071350098,-0.069213867,0
-1.744140625,6.6015625,7.07421875,-0.238647461,0.088439941,-0.07989502,0
0.40234375,6.30859375,6.87890625,-0.279052734,0.104370117,-0.10546875,0
0.40234375,6.30859375,6.87890625,-0.311035156,0.098022461,-0.12890625,0
-0.044281006,1.133789063,9.921875,-0.252441406,0.130981445,-0.116088867,0
-0.35546875,1.666015625,9.890625,-0.180053711,0.157714844,-0.101196289,0
-1.080078125,2.658203125,9.828125,-0.172607422,0.1640625,-0.09588623,0
-1.122070313,2.53515625,9.546875,-0.203491211,0.156616211,-0.098022461,0
-0.745605469,2.04296875,9.3828125,-0.241821289,0.1640625,-0.094787598,0
-0.462158203,2.021484375,9.5625,-0.310058594,0.159790039,-0.102294922,0
-0.318359375,1.853515625,9.6484375,-0.349365234,0.135253906,-0.126831055,0
-0.135253906,1.626953125,9.671875,-0.365478516,0.151245117,-0.108642578,0
0.013168335,1.389648438,9.6328125,-0.417480469,0.159790039,-0.108642578,0
0.116149902,1.240234375,9.6328125,-0.498535156,0.172607422,-0.10760498,0
0.216674805,1.188476563,9.6640625,-0.557128906,0.201293945,-0.08416748,0
0.232299805,1.07421875,9.7265625,-0.581542969,0.232177734,-0.066040039,0
0.235839844,1.127929688,9.8046875,-0.604980469,0.265380859,-0.057525635,0
0.265869141,1.223632813,9.9140625,-0.652832031,0.303710938,-0.053253174,0
0.247802734,1.170898438,9.984375,-0.766113281,0.346191406,-0.053253174,0
0.214233398,1.065429688,10,-0.940429688,0.41015625,-0.0703125,0
0.153198242,1.033203125,10.046875,-1.151367188,0.498535156,-0.02557373,0
0.116149902,1.002929688,10.0859375,-1.3984375,0.538085938,0.092651367,0
0.10534668,0.932617188,10.140625,-1.630859375,0.594238281,0.123596191,0
0.027526855,0.784179688,10.078125,-1.849609375,0.647460938,0.251464844,0
-0.077819824,0.747070313,10.0078125,-1.915039063,0.659179688,0.243896484,0
-0.077819824,0.905273438,9.921875,-1.955078125,0.746582031,0.307861328,0
-0.120910645,1.0234375,9.8359375,-2.115234375,0.862792969,0.505859375,0
-0.126953125,1.07421875,9.7578125,-2.3359375,0.954589844,0.666992188,0
-0.142456055,1.108398438,9.6875,-2.61328125,1.041015625,0.812988281,0
-0.201171875,1.149414063,9.6484375,-2.904296875,1.151367188,0.980957031,0
-0.221435547,1.24609375,9.6484375,-3.2265625,1.291992188,1.217773438,0
-0.258544922,1.228515625,9.671875,-3.494140625,1.458984375,1.491210938,0
-0.28125,1.056640625,9.609375,-3.626953125,1.581054688,1.751953125,0
-0.264648438,0.852539063,9.484375,-3.73828125,1.6953125,2.03125,0
-0.286132813,0.8046875,9.5390625,-3.748046875,1.771484375,2.2890625,0
-0.244262695,0.717285156,9.578125,-3.73828125,1.826171875,2.51171875,0
-0.196289063,0.750488281,9.5546875,-3.640625,1.857421875,2.724609375,0
-0.142456055,0.872558594,9.5,-3.498046875,1.954101563,2.9140625,0
-0.151977539,0.930175781,9.4921875,-3.302734375,2.03125,3.11328125,0
-0.125732422,0.921875,9.4453125,-3.12109375,2.046875,3.232421875,0
-0.079040527,0.953125,9.390625,-2.908203125,2.087890625,3.3359375,0
-0.022750854,0.990234375,9.40625,-2.689453125,2.189453125,3.447265625,0
-0.020355225,0.885742188,9.3828125,-2.515625,2.291015625,3.53515625,0
-0.094543457,0.924316406,9.390625,-2.427734375,2.400390625,3.619140625,0
0.185546875,0.531738281,9.2265625,-2.455078125,2.529296875,3.74609375,0
0.294433594,0.4296875,9.171875,-2.5625,2.59765625,3.849609375,0
0.265869141,0.860839844,9.3046875,-2.6953125,2.6953125,3.8828125,0
0.20715332,1.146484375,9.4140625,-2.896484375,2.751953125,3.935546875,0
0.203491211,1.198242188,9.4453125,-3.072265625,2.69921875,3.953125,0
-0.158081055,0.956542969,9.4453125,-3.1640625,2.65234375,3.947265625,0
0.082580566,0.974609375,9.2734375,-3.224609375,2.62890625,4.02734375,0
0.435791016,0.892089844,9.03125,-3.1953125,2.666015625,4.08203125,0
0.257324219,0.834472656,8.890625,-3.099609375,2.634765625,4.14453125,0
0.258544922,0.903808594,8.703125,-2.958984375,2.37109375,4.21484375,0
0.231079102,0.693359375,8.5859375,-2.7265625,2.240234375,4.1171875,0
0.183105469,0.574707031,8.484375,-2.42578125,2.494140625,3.958984375,0
0.189086914,0.659667969,8.3984375,-2.09765625,2.671875,3.884765625,0
0.217895508,0.803222656,8.3203125,-1.822265625,2.31640625,3.66015625,0
0.247802734,1.107421875,8.15625,-1.6796875,2.220703125,3.212890625,0
0.306396484,1.541015625,8.0234375,-1.748046875,2.0546875,2.84375,0
0.55078125,1.70703125,7.6796875,-1.942382813,1.798828125,2.521484375,0
0.215454102,1.728515625,7.3515625,-2.083984375,1.698242188,2.2265625,0
0.114929199,2.244140625,7.05078125,-2.099609375,1.67578125,1.997070313,0
0.149658203,2.1875,6.94921875,-2.11328125,1.693359375,1.857421875,0
-0.322021484,2.1015625,6.2734375,-2.05859375,1.686523438,1.727539063,0
-0.246582031,1.729492188,6.171875,-1.877929688,1.672851563,1.598632813,0
0.029922485,2.07421875,6.19140625,-1.786132813,1.631835938,1.575195313,0
-0.225097656,2.6171875,5.96484375,-1.672851563,1.490234375,1.548828125,0
-0.344726563,2.58984375,5.9375,-1.53515625,1.333984375,1.5390625,0
0.027526855,2.4453125,5.94921875,-1.392578125,1.241210938,1.578125,0
0.439453125,2.150390625,5.921875,-1.303710938,1.147460938,1.59375,0
0.451416016,1.728515625,5.87109375,-1.369140625,1.05078125,1.595703125,0
-0.171142578,0.985351563,5.33984375,-1.54296875,0.873535156,1.549804688,0
-0.950683594,0.092163086,5.1875,-1.711914063,0.678710938,1.46484375,0
