X,Y,Z,gX,gY,gZ,fall
4.0546875,-6.19921875,-6.765625,0.006393433,0,0,0
4.0390625,-6.08203125,-6.69140625,0.003196716,0.002130508,0.002130508,0
3.9921875,-6.0078125,-6.56640625,-0.001065254,0.004261017,0.004261017,0
4,-6.046875,-6.56640625,0,0,0.003196716,0
4.0078125,-6.04296875,-6.62109375,0.004261017,-0.002130508,0,0
4.01171875,-6,-6.6484375,0.007457733,0,-0.002130508,0
4.0078125,-6.05078125,-6.59375,0.006393433,0.002130508,-0.003196716,0
3.93359375,-6.1640625,-6.57421875,0.006393433,0.002130508,-0.001065254,0
3.9375,-6.1640625,-6.640625,0,0.007457733,0,0
3.998046875,-6.140625,-6.6875,-0.009590149,0.004261017,0,0
3.98828125,-6.08984375,-6.6796875,0,-0.001065254,-0.002130508,0
3.9921875,-6.078125,-6.6484375,-0.004261017,0,-0.004261017,0
4.0546875,-6.05859375,-6.6640625,0.002130508,0,-0.005325317,0
4.03515625,-5.98046875,-6.69140625,0.03515625,0.005325317,-0.013847351,0
4.0078125,-5.94921875,-6.6171875,0.024505615,0.042602539,-0.006393433,0
4,-5.9765625,-6.5625,0.161865234,-0.149169922,0.057525635,0
4.01171875,-6.0625,-6.6328125,0.127807617,-0.145996094,0.057525635,0
4.01171875,-6.0390625,-6.59765625,0.100158691,-0.132080078,0.054321289,0
3.9765625,-6.01171875,-6.5234375,0.0703125,-0.120361328,0.045806885,0
3.9609375,-6.08203125,-6.56640625,0.052185059,-0.109741211,0.041534424,0
4.0078125,-6.14453125,-6.6328125,0.054321289,-0.094787598,0.03302002,0
3.984375,-6.15625,-6.64453125,0.053253174,-0.076721191,0.024505615,0
3.97265625,-6.12890625,-6.67578125,0.038360596,-0.066040039,0.027694702,0
4.0078125,-6.0390625,-6.6640625,0.02130127,-0.065002441,0.040466309,0
4.00390625,-6.015625,-6.6171875,0.013847351,-0.071350098,0.045806885,0
3.9921875,-6.03515625,-6.63671875,0.015975952,-0.07244873,0.04901123,0
4,-6.1015625,-6.67578125,0.02130127,-0.07989502,0.054321289,0
4.015625,-6.07421875,-6.67578125,0.03302002,-0.090576172,0.047943115,0
4.0390625,-6.0859375,-6.65234375,0.046875,-0.088439941,0.045806885,0
4.02734375,-6.05078125,-6.6484375,0.045806885,-0.100158691,0.050079346,0
4.00390625,-6.03515625,-6.61328125,0.042602539,-0.114013672,0.050079346,0
3.974609375,-6.0390625,-6.6484375,0.041534424,-0.124633789,0.045806885,0
3.99609375,-6.05859375,-6.6640625,0.03302002,-0.133178711,0.05645752,0
4.00390625,-6.06640625,-6.6484375,0.013847351,-0.148071289,0.063903809,0
4.01171875,-6.0625,-6.64453125,-0.003196716,-0.162963867,0.046875,0
4.0078125,-6.05078125,-6.62890625,-0.019180298,-0.176879883,0.06072998,0
4.0234375,-6.06640625,-6.5859375,-0.030899048,-0.183227539,0.063903809,0
3.982421875,-6.05859375,-6.57421875,-0.050079346,-0.189575195,0.054321289,0
3.962890625,-6.046875,-6.640625,-0.06072998,-0.190673828,0.042602539,0
3.994140625,-6.0625,-6.63671875,-0.078857422,-0.190673828,0.039428711,0
3.98828125,-6.046875,-6.6328125,-0.109741211,-0.189575195,0.019180298,0
3.8984375,-6.03515625,-6.73046875,-0.144897461,-0.184326172,0.015975952,0
4.12890625,-6.125,-6.671875,-0.171508789,-0.186401367,-0.003196716,0
4.1640625,-6.171875,-6.5625,-0.197021484,-0.194946289,-0.017044067,0
-4.08203125,-4.56640625,7.88671875,-0.200317383,-0.200317383,-0.046875,0
-4.1171875,-4.46875,7.77734375,-0.157714844,-0.193847656,-0.077758789,0
-4.17578125,-4.37109375,7.76953125,-0.075622559,-0.1875,-0.088439941,0
-4.10546875,-4.28515625,7.74609375,-0.002130508,-0.204589844,-0.114013672,0
-4.03515625,-4.29296875,7.65234375,0.04901123,-0.220458984,-0.11505127,0
-3.97265625,-4.41796875,7.56640625,0.090576172,-0.239746094,-0.109741211,0
