X,Y,Z,gX,gY,gZ,fall
-3.052734375,-4.93359375,8.2734375,-0.047943115,-0.01171875,0,0
-3.048828125,-4.765625,8.28125,-0.029830933,-0.004261017,-0.004261017,0
-3.17578125,-4.6328125,8.1796875,-0.009590149,0,-0.018112183,0
-3.30078125,-4.51171875,8.09375,-0.008522034,0.002130508,-0.028762817,0
-3.35546875,-4.51171875,8.03125,-0.006393433,0.004261017,-0.024505615,0
-3.40625,-4.44921875,8.0234375,-0.012786865,0.004261017,-0.017044067,0
-3.478515625,-4.375,8.125,-0.018112183,0.003196716,-0.008522034,0
-3.52734375,-4.32421875,8.25,-0.01171875,-0.005325317,0.002130508,0
-3.529296875,-4.2734375,8.2890625,-0.009590149,-0.009590149,0.007457733,0
-3.544921875,-4.24609375,8.28125,-0.020233154,-0.007457733,0.006393433,0
-3.537109375,-4.2734375,8.28125,-0.02130127,-0.001065254,0.002130508,0
-3.572265625,-4.29296875,8.2421875,-0.02130127,0,0,0
-3.58984375,-4.26171875,8.1640625,-0.018112183,-0.001065254,0,0
-3.591796875,-4.26953125,8.0703125,-0.010650635,-0.007457733,0,0
-3.583984375,-4.40234375,7.984375,-0.010650635,-0.009590149,0.005325317,0
-3.5703125,-4.328125,8,-0.008522034,-0.005325317,0.008522034,0
-3.5390625,-4.2578125,8.0625,0,-0.002130508,0.01171875,0
-3.537109375,-4.1953125,8.1640625,0.004261017,-0.001065254,0.01171875,0
-3.546875,-4.1875,8.171875,-0.001065254,-0.001065254,0.010650635,0
-3.560546875,-4.234375,8.15625,-0.010650635,-0.002130508,0.006393433,0
-3.552734375,-4.24609375,8.1484375,-0.014915466,-0.007457733,0,0
-3.568359375,-4.22265625,8.1640625,-0.022369385,-0.010650635,-0.001065254,0
-3.5859375,-4.26171875,8.1796875,-0.030899048,-0.009590149,-0.001065254,0
-3.55859375,-4.25,8.1484375,-0.041534424,-0.005325317,-0.001065254,0
-3.576171875,-4.25,8.1640625,-0.055389404,0.02557373,0,0
-3.58984375,-4.234375,8.1640625,-0.039428711,0.020233154,-0.002130508,0
-3.607421875,-4.23828125,8.1484375,-0.004261017,0,-0.001065254,0
-3.57421875,-4.23046875,8.1328125,0.001065254,0,0.002130508,0
-3.572265625,-4.27734375,8.125,-0.002130508,0,0.008522034,0
-3.5703125,-4.2578125,8.09375,-0.009590149,0,0.01171875,0
-3.546875,-4.2421875,8.1171875,-0.013847351,-0.004261017,0.012786865,0
-3.580078125,-4.21875,8.15625,-0.02130127,-0.010650635,0.008522034,0
-3.55859375,-4.203125,8.171875,-0.02557373,-0.014915466,0.005325317,0
-3.603515625,-4.28125,8.1484375,-0.0234375,-0.014915466,0.009590149,0
-3.603515625,-4.265625,8.109375,-0.014915466,-0.010650635,0.012786865,0
-3.6015625,-4.25390625,8.1171875,-0.008522034,-0.003196716,0.010650635,0
-3.552734375,-4.25390625,8.171875,-0.008522034,0,0.013847351,0
-3.521484375,-4.3125,8.09375,-0.002130508,-0.001065254,0.0234375,0
-3.705078125,-4.5390625,7.94921875,0,-0.003196716,0.03515625,0
-3.568359375,-4.328125,8.1015625,-0.019180298,0.002130508,0.042602539,0
-3.5625,-4.2421875,8.2109375,-0.039428711,0.006393433,0.047943115,0
-3.564453125,-4.22265625,8.265625,-0.04901123,-0.003196716,0.050079346,0
-3.59375,-4.234375,8.2265625,-0.05645752,-0.012786865,0.046875,0
-3.6015625,-4.22265625,8.1484375,-0.05645752,-0.010650635,0.043670654,0
-3.6015625,-4.234375,8.1171875,-0.042602539,-0.010650635,0.038360596,0
-3.59765625,-4.2265625,8.1171875,-0.02130127,-0.02130127,0.036224365,0
-3.57421875,-4.2109375,8.125,-0.004261017,-0.028762817,0.029830933,0
-3.576171875,-4.2421875,8.078125,0.007457733,-0.03729248,0.02130127,0
-3.5546875,-4.2109375,8.078125,0.012786865,-0.04901123,0.009590149,0
-3.583984375,-4.1875,8.109375,0.012786865,-0.06072998,-0.002130508,0
-3.642578125,-4.20703125,8.140625,0.019180298,-0.07244873,-0.020233154,0
-3.626953125,-4.1328125,8.1953125,0.010650635,-0.07244873,-0.042602539,0
-3.63671875,-4.0859375,8.2265625,-0.02557373,-0.05645752,-0.069213867,0
-3.654296875,-4.125,8.1484375,-0.030899048,-0.08203125,-0.076721191,0
-3.654296875,-4.1875,8.140625,-0.043670654,-0.0703125,-0.086303711,0
-3.6171875,-4.203125,8.1171875,-0.067138672,-0.038360596,-0.089477539,0
-3.619140625,-4.33203125,8.078125,-0.078857422,-0.003196716,-0.08416748,0
-3.6484375,-4.453125,8.0390625,-0.083068848,0.028762817,-0.071350098,0
-3.60546875,-4.4453125,8.0546875,-0.073486328,0.059661865,-0.047943115,0
-3.533203125,-4.4765625,8.09375,-0.04901123,0.085205078,-0.024505615,0
-3.509765625,-4.53515625,8.109375,-0.028762817,0.099060059,-0.001065254,0
-3.5,-4.61328125,8.109375,-0.015975952,0.100158691,0.022369385,0
-3.51171875,-4.68359375,8.109375,0.001065254,0.096923828,0.041534424,0
-3.52734375,-4.71484375,8.109375,0.0234375,0.087341309,0.053253174,0
-3.451171875,-4.59765625,8.2109375,0.03729248,0.07244873,0.05859375,0
-3.52734375,-4.60546875,8.046875,0.042602539,0.050079346,0.05859375,0
-3.53515625,-4.5234375,8.09375,0.040466309,0.027694702,0.053253174,0
-3.51171875,-4.29296875,8.0625,0.03302002,0.010650635,0.043670654,0
-3.541015625,-4.21875,7.94921875,0.017044067,-0.005325317,0.027694702,0
-3.5546875,-4.1171875,7.92578125,0.002130508,-0.0234375,0.015975952,0
-3.54296875,-3.9765625,7.92578125,-0.004261017,-0.041534424,0.008522034,0
-3.498046875,-3.935546875,7.9296875,-0.013847351,-0.050079346,0.002130508,0
-3.494140625,-3.8828125,8.015625,-0.022369385,-0.052185059,0,0
-3.458984375,-3.833984375,8.125,-0.027694702,-0.054321289,-0.004261017,0
-3.41015625,-3.849609375,8.1640625,-0.028762817,-0.057525635,-0.01171875,0
-3.4375,-3.974609375,8.203125,-0.017044067,-0.054321289,-0.017044067,0
-3.45703125,-4.0703125,8.2734375,0.003196716,-0.045806885,-0.018112183,0
-3.4375,-4.16015625,8.328125,0.018112183,-0.03515625,-0.017044067,0
-3.46484375,-4.26171875,8.421875,0,0.004261017,-0.018112183,0
-3.5,-4.38671875,8.4375,0.01171875,-0.008522034,-0.007457733,0
-3.533203125,-4.51171875,8.4375,0.03729248,-0.020233154,0.002130508,0
-3.580078125,-4.59765625,8.359375,0.018112183,-0.005325317,0,0
-3.64453125,-4.6171875,8.3046875,0.003196716,0.005325317,-0.003196716,0
-3.708984375,-4.640625,8.2421875,-0.006393433,0.01171875,-0.004261017,0
-3.728515625,-4.60546875,8.1796875,-0.006393433,0.015975952,-0.003196716,0
-3.78125,-4.60546875,8.0625,-0.006393433,0.014915466,-0.001065254,0
-3.787109375,-4.54296875,7.98046875,-0.008522034,0.01171875,0.002130508,0
-3.751953125,-4.4921875,7.91015625,-0.002130508,0.005325317,0.009590149,0
-3.775390625,-4.48046875,7.84765625,0.004261017,0,0.019180298,0
-3.751953125,-4.43359375,7.77734375,0.014915466,-0.009590149,0.029830933,0
-3.689453125,-4.34765625,7.859375,0.017044067,-0.015975952,0.036224365,0
-3.6484375,-4.2265625,7.8515625,0.018112183,-0.018112183,0.040466309,0
-3.734375,-4.390625,7.79296875,0.014915466,-0.019180298,0.040466309,0
-3.595703125,-4.16015625,7.98046875,0.017044067,-0.020233154,0.036224365,0
-3.560546875,-4.1484375,8,0.015975952,-0.022369385,0.030899048,0
-3.560546875,-4.16015625,8.046875,0.012786865,-0.019180298,0.0234375,0
-3.576171875,-4.21484375,8.109375,0.003196716,-0.013847351,0.017044067,0
-3.60546875,-4.19140625,8.1953125,-0.008522034,-0.009590149,0.009590149,0
-3.552734375,-4.1328125,8.2578125,-0.010650635,-0.007457733,0.002130508,0
-3.568359375,-4.1796875,8.28125,-0.012786865,-0.005325317,-0.005325317,0
-3.5546875,-4.19921875,8.328125,-0.020233154,-0.003196716,-0.013847351,0
-3.5703125,-4.20703125,8.328125,-0.02130127,0,-0.018112183,0
-3.51953125,-4.19140625,8.296875,-0.017044067,0.003196716,-0.015975952,0
-3.478515625,-4.21484375,8.2890625,-0.009590149,0,-0.012786865,0
-3.482421875,-4.22265625,8.296875,-0.002130508,-0.005325317,-0.008522034,0
-3.46875,-4.2578125,8.234375,0.003196716,-0.010650635,-0.005325317,0
-3.4609375,-4.29296875,8.140625,0.006393433,-0.010650635,-0.002130508,0
-3.4609375,-4.328125,8.1015625,0.009590149,-0.013847351,-0.003196716,0
-3.46484375,-4.34375,8.0546875,0.012786865,-0.015975952,-0.004261017,0
-3.486328125,-4.3203125,8.0703125,0.02130127,-0.013847351,0.003196716,0
-3.5,-4.33984375,8.078125,0.03515625,-0.013847351,0.012786865,0
-3.546875,-4.42578125,8.046875,0.050079346,-0.020233154,0.029830933,0
-3.53125,-4.4140625,8.0546875,0.075622559,-0.022369385,0.053253174,0
-3.552734375,-4.36328125,8.0625,0.096923828,-0.013847351,0.05645752,0
-3.5546875,-4.3671875,8.125,0.09375,-0.038360596,0.062866211,0
-3.595703125,-4.3984375,8.1640625,0.186401367,-0.054321289,0.132080078,0
-3.6015625,-4.3828125,8.125,0.208740234,-0.05859375,0.162963867,0
-3.615234375,-4.33984375,8.125,0.144897461,-0.067138672,0.122497559,0
-3.609375,-4.32421875,8.171875,0.100158691,-0.088439941,0.124633789,0
-3.595703125,-4.3125,8.171875,0.10546875,-0.08416748,0.143798828,0
-3.607421875,-4.28515625,8.1484375,0.08416748,-0.07989502,0.136352539,0
-3.623046875,-4.26953125,8.1640625,0.045806885,-0.086303711,0.112915039,0
-3.615234375,-4.23046875,8.15625,0.034088135,-0.08203125,0.110778809,0
-3.619140625,-4.21484375,8.15625,0.014915466,-0.075622559,0.090576172,0
-3.64453125,-4.203125,8.140625,-0.03302002,-0.066040039,0.065002441,0
-3.60546875,-4.19921875,8.109375,-0.086303711,-0.055389404,0.042602539,0
-3.654296875,-3.955078125,8.234375,-0.101196289,-0.052185059,0.051147461,0
-3.484375,-4.4921875,8.046875,-0.089477539,-0.045806885,0.059661865,0
-3.509765625,-4.125,8.1953125,-0.116088867,-0.03729248,0.041534424,0
-3.576171875,-3.69140625,8.4375,-0.132080078,-0.029830933,0.03515625,0
-3.56640625,-3.75390625,8.40625,-0.099060059,-0.018112183,0.042602539,0
-3.451171875,-4.12890625,8.296875,-0.086303711,-0.009590149,0.03302002,0
-3.55859375,-4.109375,8.3203125,-0.088439941,-0.002130508,0.024505615,0
-3.62109375,-4.03125,8.2890625,-0.067138672,-0.001065254,0.034088135,0
-3.5,-4.42578125,8.15625,-0.051147461,-0.002130508,0.038360596,0
-3.564453125,-4.43359375,8.15625,-0.067138672,-0.005325317,0.03302002,0
-3.5703125,-4.22265625,8.2578125,-0.085205078,-0.007457733,0.027694702,0
-3.55859375,-4.125,8.2578125,-0.10333252,-0.003196716,0.028762817,0
-3.515625,-4.140625,8.203125,-0.120361328,-0.012786865,0.02557373,0
-3.5,-4.31640625,8.09375,-0.123596191,-0.003196716,0.008522034,0
-3.54296875,-4.078125,8.1328125,-0.1171875,0.010650635,0.01171875,0
-3.521484375,-4.0078125,8.1484375,-0.100158691,0.019180298,0,0
-3.46875,-4.375,8.03125,-0.09588623,0.02130127,-0.002130508,0
-3.5625,-4.1875,8.0703125,-0.086303711,0.014915466,0.004261017,0
-3.57421875,-4.08203125,8.1484375,-0.07244873,0.013847351,0.008522034,0
-3.564453125,-4.23828125,8.1015625,-0.057525635,0.022369385,0.022369385,0
-3.576171875,-4.24609375,8.125,-0.03302002,0.024505615,0.028762817,0
-3.646484375,-4.12109375,8.1484375,-0.022369385,0.019180298,0.029830933,0
-3.666015625,-4.14453125,8.1875,-0.018112183,0.012786865,0.034088135,0
-3.6640625,-4.20703125,8.1640625,-0.015975952,0.005325317,0.040466309,0
-3.751953125,-4.29296875,8.140625,-0.022369385,-0.003196716,0.04473877,0
-3.537109375,-4.30859375,8.1015625,-0.0234375,-0.009590149,0.041534424,0
-3.544921875,-4.41015625,8.09375,-0.024505615,-0.012786865,0.03729248,0
-3.642578125,-4.4296875,8.0390625,-0.028762817,-0.018112183,0.03729248,0
-3.626953125,-4.40234375,8.046875,-0.03729248,-0.031951904,0.012786865,0
-3.66796875,-4.34375,8.0625,-0.069213867,-0.050079346,-0.015975952,0
-3.552734375,-4.25,8.0703125,-0.057525635,-0.034088135,0.02130127,0
-3.560546875,-4.26171875,8.1171875,-0.020233154,-0.03302002,0.03302002,0
-3.63671875,-4.328125,8.09375,-0.041534424,-0.047943115,0.015975952,0
-3.59375,-4.3046875,8.078125,-0.055389404,-0.042602539,0.02130127,0
-3.58984375,-4.265625,8.1015625,-0.059661865,-0.042602539,0.026626587,0
-3.5859375,-4.24609375,8.1640625,-0.076721191,-0.046875,0.027694702,0
-3.611328125,-4.2578125,8.2109375,-0.085205078,-0.042602539,0.022369385,0
-3.59765625,-4.24609375,8.21875,-0.101196289,-0.051147461,0.015975952,0
-3.55859375,-4.28125,8.2265625,-0.099060059,-0.04901123,0.02557373,0
-3.611328125,-4.34765625,8.15625,-0.07989502,-0.04473877,0.0234375,0
-3.634765625,-4.33203125,8.2265625,-0.080932617,-0.04901123,0.013847351,0
-3.78515625,-4.02734375,8.28125,-0.085205078,-0.045806885,0.013847351,0
-3.482421875,-4.4375,8.234375,-0.076721191,-0.03729248,0.038360596,0
-3.486328125,-4.4921875,8.1171875,-0.061798096,-0.03302002,0.031951904,0
-3.666015625,-4.125,8.1640625,-0.10546875,-0.042602539,0.008522034,0
-3.517578125,-4.1953125,8.1796875,-0.153442383,-0.06072998,0.02557373,0
